geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,accessibility_index,pop_density_per_sq_km,ZONE_NAME,WARD_NO
"POLYGON ((75.69853465558555 26.872349575639674, 75.69859014780323 26.881377654784792, 75.70865794189199 26.881327523139188, 75.70860165010522 26.87229946349416, 75.69853465558555 26.872349575639674))",POINT (75.70359609884822 26.87683864535071),,8621732238,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",1239,20.6499999587,20.0,14.0,34.6499999587,0.8658008668328304,0.5,0.4329004334164152,4127.213848731749,,
"POLYGON ((75.69859014780323 26.881377654784792, 75.69864566609371 26.890405722286314, 75.7087142601272 26.890355571137576, 75.70865794189199 26.881327523139188, 75.69859014780323 26.881377654784792))",POINT (75.70365200398075 26.88586670895843),,8627827081,POINT (571126.7639187786 2973130.450876301),8120330622.0,KAMLA NEHRU NAGAR,32,2009,33.483333266366664,35.0,21.5,54.98333326636666,0.5456198854781148,0.5,0.2728099427390574,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.69864566609371 26.890405722286314, 75.6987012104659 26.899433778141496, 75.70877060481989 26.899383607486598, 75.7087142601272 26.890355571137576, 75.69864566609371 26.890405722286314))",POINT (75.7037079353784 26.894894760919684),,6737795446,POINT (571126.7639187786 2973130.450876301),8120330622.0,KAMLA NEHRU NAGAR,32,2653,44.21666657823333,35.0,21.5,65.71666657823333,0.4565051997012976,0.5,0.2282525998506488,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.6987012104659 26.899433778141496, 75.69875678092876 26.90846182234766, 75.70882697597911 26.908411632183608, 75.70877060481989 26.899383607486598, 75.6987012104659 26.899433778141496))",POINT (75.70376389305014 26.903922801231758),,8628303684,POINT (570117.3981830438 2978237.86126148),3935403215.0,SHEKHWAT COLONY,"AC5, AC1",4837,80.61666650543333,16.0,12.0,92.61666650543332,0.3239157824606012,0.5,0.1619578912303006,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.69875678092876 26.90846182234766, 75.69881237749121 26.91748985490211, 75.70888337361396 26.917439645225862, 75.70882697597911 26.908411632183608, 75.69875678092876 26.90846182234766))",POINT (75.70381987700497 26.912950829891948),,3933368472,POINT (570117.3981830438 2978237.86126148),3935403215.0,SHEKHWAT COLONY,"AC5, AC1",1704,28.3999999432,16.0,12.0,40.3999999432,0.7425742584697579,0.5,0.3712871292348789,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.69881237749121 26.91748985490211, 75.69886800016216 26.92651787580213, 75.70893979773348 26.926467646610675, 75.70888337361396 26.917439645225862, 75.69881237749121 26.91748985490211))",POINT (75.70387588725193 26.921978846897563),,3933373357,POINT (570117.3981830438 2978237.86126148),3935403215.0,SHEKHWAT COLONY,"AC5, AC1",436,7.266666652133333,16.0,12.0,19.26666665213333,1.557093426780091,0.5,0.7785467133900457,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.69886800016216 26.92651787580213, 75.69892364895064 26.935545885045038, 75.70899624834679 26.93549563633535, 75.70893979773348 26.926467646610675, 75.69886800016216 26.92651787580213))",POINT (75.7039319238 26.931006852245893),,8627872130,POINT (569643.4933595578 2978255.384474142),3935403223.0,KANAKPURA,"AC5, AC1",4459,74.31666651803333,16.0,12.0,86.31666651803333,0.3475574441203934,0.5,0.1737787220601967,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.69892364895064 26.935545885045038, 75.69897932386557 26.944573882628127, 75.70905272546295 26.944523614397163, 75.70899624834679 26.93549563633535, 75.69892364895064 26.935545885045038))",POINT (75.70398798665822 26.940034845934257),,3935380420,POINT (569643.4933595578 2978255.384474142),3935403223.0,KANAKPURA,"AC5, AC1",4843,80.71666650523333,16.0,12.0,92.71666650523332,0.3235664215592422,0.5,0.1617832107796211,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.69897932386557 26.944573882628127, 75.69903502491591 26.953601868548695, 75.70910922909108 26.953551580793437, 75.70905272546295 26.944523614397163, 75.69897932386557 26.944573882628127))",POINT (75.7040440758356 26.949062827959946),,3784365603,POINT (571640.7064031751 2980845.936631821),3956216415.0,RAVAN GATE,24,3559,59.31666654803333,35.0,21.5,80.81666654803334,0.3712105594230309,0.5,0.1856052797115154,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.70843293334495 26.845215214706343, 75.70848914584074 26.85424330927503, 75.71855451592735 26.85419251977486, 75.71849750499764 26.84516444497606, 75.70843293334495 26.845215214706343))",POINT (75.71349352502939 26.849703963163225),,8627627904,POINT (569276.577632891 2972313.648473189),10081117619.0,BHAKROTA,"26, 18",5160,85.999999828,20.0,14.0,99.999999828,0.300000000516,0.5,0.150000000258,4127.213848731749,,
"POLYGON ((75.70848914584074 26.85424330927503, 75.70854538475781 26.86327139220521, 75.71861155365359 26.8632205829321, 75.71855451592735 26.85419251977486, 75.70848914584074 26.85424330927503))",POINT (75.7135501500466 26.85873204206214),,8628164170,POINT (571755.7157676127 2972678.2181880553),8120330779.0,NARAIN VIHAR,32,2341,39.016666588633335,35.0,21.5,60.516666588633335,0.4957312041644212,0.5,0.2478656020822106,4127.213848731749,,
"POLYGON ((75.70854538475781 26.86327139220521, 75.70860165010522 26.87229946349416, 75.71866861818552 26.872248634445047, 75.71861155365359 26.8632205829321, 75.70854538475781 26.86327139220521))",POINT (75.71360680167726 26.867760109319672),,8610382134,POINT (571755.7157676127 2972678.2181880553),8120330779.0,NARAIN VIHAR,32,1694,28.233333276866663,35.0,21.5,49.73333327686667,0.6032171588618297,0.5,0.3016085794309148,4127.213848731749,SANGANER,29
"POLYGON ((75.70860165010522 26.87229946349416, 75.70865794189199 26.881327523139188, 75.71872570953234 26.881276674311003, 75.71866861818552 26.872248634445047, 75.70860165010522 26.87229946349416))",POINT (75.71366347993049 26.87678816493309),,8611672876,POINT (571126.7639187786 2973130.450876301),8120330622.0,KAMLA NEHRU NAGAR,32,420,6.999999986,35.0,21.5,28.499999986,1.0526315794644507,0.5,0.5263157897322254,4127.213848731749,SANGANER,29
"POLYGON ((75.70865794189199 26.881327523139188, 75.7087142601272 26.890355571137576, 75.7187828277032 26.89030470252727, 75.71872570953234 26.881276674311003, 75.70865794189199 26.881327523139188))",POINT (75.7137201848154 26.88581620889971),,4462375615,POINT (571126.7639187786 2973130.450876301),8120330622.0,KAMLA NEHRU NAGAR,32,903,15.0499999699,35.0,21.5,36.5499999699,0.8207934343284783,0.5,0.4103967171642391,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.7087142601272 26.890355571137576, 75.70877060481989 26.899383607486598, 75.7188399727073 26.899332719091127, 75.7187828277032 26.89030470252727, 75.7087142601272 26.890355571137576))",POINT (75.71377691634112 26.894844241216816),,11098562946,POINT (572449.0385388383 2975821.864296606),3783281467.0,CHITRKOOT PULIYA,AC1,2172,36.1999999276,16.0,12.0,48.1999999276,0.6224066399390507,0.5,0.3112033199695253,2634.526421058386,JHOTWARA ANSIK,12
"POLYGON ((75.70877060481989 26.899383607486598, 75.70882697597911 26.908411632183608, 75.71889714455385 26.908360723999873, 75.7188399727073 26.899332719091127, 75.70877060481989 26.899383607486598))",POINT (75.71383367451676 26.9038722618817),,3933428100,POINT (572383.7528785177 2976191.0059846137),2393625661.0,GANDHI PATH,14,1620,26.999999946,15.0,11.5,38.499999946,0.7792207803137122,0.5,0.3896103901568561,2634.526421058386,JHOTWARA ANSIK,12
