geometry,POI,address,node,nearest_sap,destination,sap_name,routes,walking_distance,WT,service_frequency,AWT,TAT,EDF,weighing_factor,bus_ptal,pop_density_per_sq_km,ZONE_NAME,WARD_NO,index_right,metro_ptal,accessibility_index,population_density,pop_density_cat,accessibility_cat,bivariate_cat
"POLYGON ((75.74899034280142 26.9752964995472, 75.74947125600822 26.970630973468133, 75.75451158936708 26.968721098191303, 75.75907141732786 26.971476407194437, 75.75859117512044 26.97614197619646, 75.75355043393955 26.9780521933045, 75.74899034280142 26.9752964995472))",POINT (75.75403102795909 26.973386625022854),,4725277345,POINT (574880.0556134811 2983158.85651114),4725277418.0,DADI KA PHATAK,9A,866.0,14.433333304466666,8.0,8.0,22.433333304466665,1.3372956926569066,1.0,1.3372956926569066,4349.745063944651,,,243,0.1932782136169282,1.5305739062738348,4349.745063944651,A,3,3A
"POLYGON ((75.7866245151059 26.844542791247704, 75.78710184093966 26.839884754415785, 75.79213094606794 26.83797720010172, 75.79668313082144 26.840727340833535, 75.79620647345669 26.84538542001621, 75.79117696285633 26.847293316148356, 75.7866245151059 26.844542791247704))",POINT (75.7916539704492 26.842635237276237),,8642233598,POINT (578863.9080391125 2968644.159684443),11601405552.0,CITY PLEX,"3,3A,AC1,AC2,28,16,27,11",2301.0,38.3499999233,20.0,14.0,52.3499999233,0.5730659034184175,0.5,0.2865329517092087,6416.028510357767,SANGANER,25.0,38,0.2766251734031719,0.5631581251123807,6416.028510357767,B,1,1B
"POLYGON ((75.85869513934594 26.991979411645936, 75.85916843330129 26.987313003156668, 75.86420594458819 26.985398948525443, 75.86877056770474 26.98815095938569, 75.86829794533087 26.992817408866706, 75.86326002824605 26.994731806527867, 75.85869513934594 26.991979411645936))",POINT (75.86373300198586 26.990065356734416),,2378446123,POINT (584868.4424527058 2985406.7869678596),3590694363.0,AMER,AC1,861.0,14.3499999713,16.0,12.0,26.3499999713,1.1385199253387297,0.5,0.5692599626693647,2659.749587464012,AMER ANSIK,77.0,336,0.1865284977638272,0.7557884604331919,2659.749587464012,A,2,2A
"POLYGON ((75.80516556746136 26.99435846583654, 75.80564265481073 26.98969188697616, 75.81068233909073 26.987779582305652, 75.81524534292285 26.990533514049325, 75.81476892708362 26.995200134836967, 75.80972883588899 26.997112781985813, 75.80516556746136 26.99435846583654))",POINT (75.81020560342344 26.99244616139385),,4748225488,POINT (578882.1582451658 2986444.122761912),4553445069.0,VKI NO. 17,1A,1083.0,18.0499999639,15.0,11.5,29.5499999639,1.0152284276362011,0.5,0.5076142138181006,4349.745063944651,,,493,0.1338787655984735,0.641492979416574,4349.745063944651,A,2,2A
"POLYGON ((75.8673662268445 26.858672476266115, 75.86783796853295 26.854013684128194, 75.87286513397282 26.852103017275095, 75.87742096172057 26.854850799888492, 75.87694988896256 26.859509632958297, 75.87192231951347 26.861420642514894, 75.8673662268445 26.858672476266115))",POINT (75.87239374219118 26.85676180899842),,8620107909,POINT (588588.3506244372 2972005.478080185),4744367845.0,LUNIYAWAS,27A,3819.0,63.6499998727,15.0,11.5,75.1499998727,0.3992015974826129,0.5,0.1996007987413064,2161.559325661986,BAGRU ANSIK,34.0,48,0.1393512428169252,0.3389520415582316,2161.559325661986,A,1,1A
"POLYGON ((75.8368253338506 26.968885268407952, 75.83730000689889 26.964220160270045, 75.84233659534625 26.962307482617753, 75.8468989166946 26.965059570405355, 75.84642491471617 26.969724719933595, 75.8413879203065 26.97163774031604, 75.8368253338506 26.968885268407952))",POINT (75.8418622735328 26.966972590673276),,8559150138,POINT (583987.9479188153 2982647.1976890415),8559119002.0,KANAK GHATI,AC1,663.0,11.0499999779,8.0,8.0,19.0499999779,1.574803151433236,1.0,1.574803151433236,2659.749587464012,AMER ANSIK,77.0,276,0.2870355610467941,1.86183871248003,2659.749587464012,A,3,3A
"POLYGON ((75.77537860700143 26.9070305675152, 75.77585717090027 26.902368949705636, 75.78089138929386 26.900460054239677, 75.78544745023271 26.903212434719443, 75.78496955602645 26.90787409503511, 75.77993493117557 26.90978333239698, 75.77537860700143 26.9070305675152))",POINT (75.7804131763281 26.905121672523585),,3780621681,POINT (577157.8070456111 2976289.958382433),3788717459.0,ESIC HOSPITAL,26,546.0,9.0999999818,26.0,17.0,26.0999999818,1.1494252881578368,0.5,0.5747126440789184,17487.241924241436,CIVIL LINES,22.0,376,1.4802631596866345,2.054975803765553,17487.241924241436,B,3,3B
"POLYGON ((75.81394428260046 26.861044817732648, 75.81441980258025 26.856385853179344, 75.81944913372212 26.854476921950752, 75.8240033499907 26.857226613152733, 75.823528498871 26.86188561956903, 75.81849876260962 26.86379489295245, 75.81394428260046 26.861044817732648))",POINT (75.81897396397622 26.85913588659511),,3785004340,POINT (581475.4079727762 2970731.796384594),3779498673.0,KELGIRI MOD,6A,552.0,9.1999999816,20.0,14.0,23.1999999816,1.2931034493014268,0.5,0.6465517246507134,4026.669272287336,MALVIYA NAGAR,39.0,222,0.2173125683196161,0.8638642929703295,4026.669272287336,A,2,2A
"POLYGON ((75.86203196070855 26.81591552769832, 75.86250377657191 26.81125918198661, 75.86752793114927 26.80934987906625, 75.87208067345185 26.812096579376558, 75.87160952565335 26.816752966142584, 75.86658496747455 26.818662611576052, 75.86203196070855 26.81591552769832))",POINT (75.86705646477624 26.814006224397144),,4818090137,POINT (586225.4798803068 2968562.308177342),4750678132.0,KUNDAN PURA,AC7,3043.0,50.71666656523333,10.0,9.0,59.71666656523333,0.5023723145569182,0.5,0.2511861572784591,2161.559325661986,BAGRU ANSIK,34.0,147,0.1169970752998169,0.368183232578276,2161.559325661986,A,1,1A
"POLYGON ((75.78805629220875 26.8305694821543, 75.78853341767199 26.82591224680378, 75.79356142028635 26.824005029705575, 75.79811270269832 26.826754706200784, 75.79763624542831 26.831411983886277, 75.79260783753999 26.833319542773634, 75.78805629220875 26.8305694821543))",POINT (75.79308464488386 26.828662265379517),,3793716960,POINT (578923.6135877498 2967741.336944304),3793716957.0,RAM MANDIR,"3,3A,AC1,AC2,28,16,27,11",268.0,4.466666657733333,20.0,14.0,18.46666665773333,1.6245487372479763,0.5,0.8122743686239883,5272.715521771053,BAGRU ANSIK,36.0,316,0.2158273385363076,1.028101707160296,5272.715521771053,B,3,3B
